Year,Month,Total
2023      ,6         ,2.1500
2023      ,7         ,7.7100
2023      ,8         ,3.3400
2023      ,9         ,1.1900
2023      ,10        ,2.0500
2023      ,11        ,1.0100
2023      ,12        ,1.3800
2024      ,1         ,0.6500
2024      ,2         ,0.0700
2024      ,3         ,1.3900
2024      ,4         ,4.8900
2024      ,5         ,10.1600
