Period,Start Date,End Date,Station Name,Station Code,Total Precipitation (in)
Past 6 Months,5/1/2025,10/31/2025,"Monroe City, Monroe County, MO",mon,17.52
Past 6 Months,5/1/2025,10/31/2025,"Novelty, Knox County, MO",nov,21.41
Past 6 Months,5/1/2025,10/31/2025,"Portageville, Pemiscot County, MO",pvl,28.53
Past 6 Months,5/1/2025,10/31/2025,"St. Joseph, Buchanan County, MO",stj,22.9
Past 12 Months,11/1/2024,10/31/2025,"Albany, Gentry County, MO",alb,35.93
Past 12 Months,11/1/2024,10/31/2025,"Auxvasse, Audrain County, MO",aux,34.33
Past 12 Months,11/1/2024,10/31/2025,"Brunswick, Carroll County, MO",bwk,29.99
Past 12 Months,11/1/2024,10/31/2025,"Cardwell, Dunklin County, MO",crd,54.91
Past 12 Months,11/1/2024,10/31/2025,"Charleston, Mississippi County, MO",chs,55.03
Past 12 Months,11/1/2024,10/31/2025,"Clarkton, Dunklin County, MO",clk,61.08
Past 12 Months,11/1/2024,10/31/2025,"Columbia-Sanborn Field, Boone County, MO",san,31.51
Past 12 Months,11/1/2024,10/31/2025,"Columbia-South Farms, Boone County, MO",sfm,35.08
Past 12 Months,11/1/2024,10/31/2025,"Cook Station, Crawford County, MO",wur,58.4
Past 12 Months,11/1/2024,10/31/2025,"Corning, Atchison County, MO",crn,32.31
Past 12 Months,11/1/2024,10/31/2025,"Delta, Cape Girardeau County, MO",del,49.62
Past 12 Months,11/1/2024,10/31/2025,"Glennonville, Dunklin County, MO",gln,53.43
Past 12 Months,11/1/2024,10/31/2025,"Hayward, Pemiscot County, MO",lee,64.6
Past 12 Months,11/1/2024,10/31/2025,"Lamar, Barton County, MO",lam,44.83
Past 12 Months,11/1/2024,10/31/2025,"Linneus, Linn County, MO",lin,36.18
Past 12 Months,11/1/2024,10/31/2025,"Monroe City, Monroe County, MO",mon,33.42
Past 12 Months,11/1/2024,10/31/2025,"Novelty, Knox County, MO",nov,34.99
Past 12 Months,11/1/2024,10/31/2025,"Portageville, Pemiscot County, MO",pvl,71.84
Past 12 Months,11/1/2024,10/31/2025,"St. Joseph, Buchanan County, MO",stj,33
